Visitor,Vis.score,Home,Home.score
BAL,1,PIT,10
CHN,7,SLN,8
TOR,9,BOS,4
ANA,9,CHA,3
MIN,8,CLE,6
DET,1,KCA,2
TBA,1,NYA,6
SEA,6,OAK,3
HOU,14,TEX,3
SFN,3,ARI,4
MIA,9,COL,15
SDN,0,LAN,10
CIN,6,MIL,0
ATL,1,NYN,7
WAS,5,PHI,7
BAL,3,PIT,5
CHN,5,SLN,1
TOR,7,BOS,10
ANA,4,CHA,6
MIN,2,CLE,4
DET,4,KCA,7
TBA,1,NYA,6
SEA,5,OAK,6
HOU,12,TEX,2
ATL,1,MIA,7
CIN,3,MIL,4
CHN,2,SLN,1
PIT,4,WAS,5
HOU,12,BOS,2
ANA,4,CHA,5
MIN,2,CLE,5
DET,4,KCA,1
TBA,9,NYA,6
OAK,4,TEX,1
CIN,4,CHN,5
LAN,1,COL,9
ATL,5,MIA,6
NYN,2,PHI,6
SDN,0,SFN,8
MIL,5,SLN,3
PIT,1,WAS,6
SEA,5,ANA,6
HOU,3,BOS,2
CHA,1,CLE,10
ARI,1,KCA,2
DET,3,MIN,6
TOR,0,NYA,4
BAL,0,TBA,7
OAK,3,TEX,5
CIN,0,CHN,9
LAN,5,COL,3
ATL,2,MIA,10
NYN,7,PHI,4
SDN,3,SFN,2
MIL,6,SLN,7
PIT,4,WAS,1
SEA,6,ANA,4
HOU,3,BOS,6
CHA,2,CLE,1
ARI,3,KCA,4
DET,3,MIN,2
TOR,1,NYA,2
BAL,3,TBA,4
OAK,4,TEX,8
CIN,3,CHN,1
LAN,6,COL,3
ATL,8,MIA,5
NYN,0,PHI,11
SDN,4,SFN,5
MIL,6,SLN,1
PIT,11,WAS,8
SEA,2,ANA,6
HOU,4,BOS,3
CHA,1,CLE,3
ARI,14,KCA,2
DET,1,MIN,5
TOR,2,NYA,1
BAL,0,TBA,6
OAK,5,TEX,2
