Visitor,Vis.score,Home,Home.score
PIT,3,CIN,4
SFN,4,LAN,3
TBA,4,MIA,2
MIL,7,SLN,5
BAL,5,BOS,2
CLE,1,DET,7
TEX,2,HOU,6
CHA,1,KCA,6
TOR,7,NYA,1
NYN,7,ATL,9
PHI,3,CHN,8
PIT,12,CIN,3
SFN,5,LAN,13
TBA,3,MIA,1
COL,2,SDN,6
MIL,1,SLN,2
ARI,6,WAS,3
BAL,2,BOS,5
CLE,2,DET,5
TEX,7,HOU,8
CHA,6,KCA,0
OAK,1,MIN,9
TOR,5,NYA,11
ANA,6,SEA,4
NYN,16,ATL,5
PHI,4,CHN,5
PIT,2,CIN,7
SFN,4,LAN,1
COL,11,SDN,3
ARI,1,WAS,2
BAL,2,BOS,4
CLE,3,DET,2
TEX,1,HOU,10
CHA,1,KCA,6
OAK,4,MIN,7
TOR,6,NYA,8
ANA,7,SEA,8
MIA,10,TBA,6
PHI,4,CHN,5
PIT,2,CIN,4
COL,3,SDN,2
MIL,5,SLN,4
ARI,2,WAS,4
BAL,8,BOS,3
TEX,10,HOU,4
CHA,8,KCA,3
OAK,8,MIN,5
ANA,3,SEA,11
MIA,1,TBA,5
SLN,10,ATL,0
NYA,3,CHN,2
SFN,3,CIN,13
ARI,6,COL,3
MIA,7,NYN,8
WAS,4,PHI,2
MIL,0,PIT,4
LAN,8,SDN,2
HOU,7,ANA,6
CHA,2,BAL,4
CLE,1,KCA,3
BOS,3,MIN,4
DET,7,OAK,2
TEX,3,SEA,1
TOR,8,TBA,4
SLN,5,ATL,3
NYA,11,CHN,6
SFN,2,CIN,14
ARI,1,COL,9
MIA,3,NYN,11
WAS,6,PHI,2
MIL,1,PIT,2
LAN,10,SDN,2
HOU,1,ANA,2
CHA,5,BAL,6
CLE,3,KCA,1
BOS,11,MIN,1
DET,5,OAK,6
TEX,2,SEA,8
TOR,1,TBA,6
SLN,6,ATL,4
NYA,5,CHN,4
SFN,0,CIN,4
ARI,2,COL,5
MIA,7,NYN,0
WAS,5,PHI,6
MIL,6,PIT,2
HOU,5,ANA,3
CHA,0,BAL,4
CLE,1,KCA,0
BOS,17,MIN,6
DET,6,OAK,8
TEX,3,SEA,4
TOR,2,TBA,1
NYA,10,CIN,4
PIT,1,LAN,12
SLN,9,MIA,4
SFN,3,NYN,4
TEX,1,SDN,5
WAS,4,BAL,6
ANA,2,OAK,3
KCA,7,TBA,3
CLE,2,TOR,4
DET,7,ARI,3
NYA,3,CIN,5
CHN,4,COL,10
CHN,8,COL,1
PIT,3,LAN,4
SLN,6,MIA,5
BOS,7,MIL,11
SFN,1,NYN,6
SEA,10,PHI,9
TEX,11,SDN,0
WAS,4,BAL,5
MIN,7,CHA,2
ATL,3,HOU,8
ANA,7,OAK,3
KCA,7,TBA,6
CLE,6,TOR,0
DET,1,ARI,7
CHN,0,COL,3
PIT,2,LAN,5
SLN,7,MIA,5
BOS,4,MIL,7
SFN,6,NYN,5
SEA,11,PHI,6
BAL,6,WAS,7
ATL,2,HOU,4
ANA,1,OAK,3
KCA,1,TBA,12
SDN,3,TEX,4
CLE,7,TOR,8
PIT,1,ARI,2
LAN,7,COL,10
BOS,4,MIL,1
CIN,3,SFN,2
DET,7,ANA,1
MIN,7,CHA,6
HOU,3,NYA,2
KCA,6,TBA,0
SDN,2,TEX,5
SEA,2,TOR,7
PIT,4,ARI,11
LAN,6,COL,2
ATL,8,MIA,4
NYN,4,MIL,7
CIN,2,SFN,3
CHN,3,SLN,2
DET,0,ANA,7
TBA,5,BOS,4
SDN,6,CHA,3
MIN,1,CLE,0
BAL,2,KCA,3
HOU,5,NYA,1
OAK,2,TEX,5
SEA,0,TOR,4
PIT,4,ARI,3
LAN,4,COL,0
ATL,3,MIA,1
NYN,4,MIL,11
CIN,1,SFN,3
CHN,3,SLN,5
PHI,4,WAS,6
DET,4,ANA,3
TBA,3,BOS,6
SDN,4,CHA,5
MIN,4,CLE,1
BAL,3,KCA,4
OAK,5,TEX,6
SEA,2,TOR,7
PIT,6,ARI,4
LAN,6,COL,9
ATL,1,MIA,3
NYN,9,MIL,11
CIN,3,SFN,8
CHN,0,SLN,5
PHI,4,WAS,3
PHI,5,WAS,6
DET,1,ANA,4
TBA,11,BOS,2
SDN,3,CHA,9
MIN,3,CLE,8
BAL,8,KCA,9
HOU,6,NYA,11
HOU,10,NYA,7
OAK,4,TEX,6
SEA,2,TOR,3
NYN,3,ARI,7
HOU,7,MIA,2
MIL,5,SDN,6
LAN,4,SFN,8
CHA,3,ANA,5
TBA,7,CLE,8
OAK,5,SEA,6
ATL,10,TOR,6
NYN,4,ARI,5
CIN,5,CHN,9
HOU,12,MIA,2
WAS,8,PIT,4
MIL,6,SDN,2
LAN,1,SFN,2
BOS,6,SLN,3
CHA,6,ANA,7
TBA,6,CLE,4
BAL,13,DET,11
NYA,7,KCA,1
COL,7,MIN,3
OAK,9,SEA,6
PHI,1,TEX,5
ATL,9,TOR,5
NYN,4,ARI,5
TOR,4,ATL,8
CIN,5,CHN,7
HOU,3,MIA,0
WAS,1,PIT,6
MIL,3,SDN,1
LAN,6,SFN,1
BOS,5,SLN,4
CHA,8,ANA,12
TBA,7,CLE,4
BAL,4,DET,5
NYA,11,KCA,7
OAK,0,SEA,4
PHI,3,TEX,9
TOR,9,ATL,0
CIN,5,CHN,9
MIA,2,LAN,7
WAS,4,PIT,10
MIL,4,SDN,2
BAL,5,DET,6
NYA,1,KCA,5
COL,5,MIN,1
COL,0,MIN,2
BOS,3,OAK,8
CHA,4,SEA,5
PHI,4,TEX,8
WAS,4,ATL,7
MIL,6,CHN,3
COL,12,CIN,6
MIA,2,LAN,7
ANA,0,NYN,3
PHI,7,PIT,2
ARI,10,SDN,1
SFN,6,SLN,5
TOR,3,BAL,5
TEX,5,DET,3
CLE,5,HOU,3
KCA,3,MIN,4
BOS,2,OAK,3
CHA,2,SEA,1
NYA,4,TBA,5
WAS,2,ATL,5
COL,8,CIN,12
MIA,10,LAN,6
ANA,5,NYN,7
PHI,3,PIT,6
ARI,9,SDN,1
SFN,3,SLN,1
TOR,5,BAL,7
TEX,3,DET,9
CLE,3,HOU,0
BOS,3,OAK,8
CHA,16,SEA,1
NYA,5,TBA,9
WAS,3,ATL,2
MIL,6,CHN,13
COL,6,CIN,4
MIA,3,LAN,6
ANA,12,NYN,5
PHI,0,PIT,1
ARI,1,SDN,5
SFN,3,SLN,8
TOR,3,BAL,1
TEX,5,DET,2
CLE,8,HOU,6
KCA,6,MIN,4
KCA,4,MIN,8
BOS,12,OAK,3
CHA,8,SEA,1
NYA,3,TBA,2
CHA,1,ARI,5
PIT,2,ATL,5
SFN,6,CHN,4
CLE,1,CIN,5
COL,8,PHI,1
MIN,14,BAL,7
DET,0,HOU,1
KCA,2,NYA,4
ANA,3,TBA,2
CHA,4,ARI,5
PIT,5,ATL,6
SFN,1,CHN,4
CLE,8,CIN,7
SLN,1,LAN,2
TOR,4,MIL,3
SDN,3,NYN,9
COL,8,PHI,2
SEA,1,WAS,10
MIN,2,BAL,0
TEX,6,BOS,11
DET,2,HOU,6
KCA,6,NYA,2
MIA,11,OAK,9
ANA,4,TBA,0
CHA,6,ARI,8
PIT,12,ATL,5
SFN,4,CHN,5
SLN,6,LAN,1
TOR,8,MIL,4
SDN,6,NYN,5
COL,7,PHI,2
SEA,1,WAS,5
MIN,4,BAL,3
TEX,4,BOS,9
CIN,4,CLE,3
DET,6,HOU,3
KCA,0,NYA,3
MIA,1,OAK,4
ANA,2,TBA,5
PIT,9,ATL,4
SFN,1,CHN,5
SLN,3,LAN,7
ARI,4,MIL,0
SDN,4,NYN,3
COL,1,PHI,2
SEA,4,WAS,2
TEX,2,BOS,6
DET,6,HOU,7
ANA,0,TBA,4
SLN,0,COL,10
CHN,0,LAN,4
ANA,5,MIA,8
ARI,4,MIL,2
CIN,5,PHI,2
NYN,8,PIT,1
ATL,2,SFN,0
SDN,1,WAS,5
SEA,0,BOS,3
DET,2,CHA,8
KCA,6,CLE,4
BAL,0,HOU,2
TBA,5,MIN,2
OAK,4,NYA,1
TEX,6,TOR,7
SLN,3,COL,0
CHN,0,LAN,5
ANA,5,MIA,2
ARI,1,MIL,6
CIN,3,PHI,4
NYN,4,PIT,5
ATL,3,SFN,6
SDN,0,WAS,3
SEA,0,BOS,6
DET,0,CHA,3
DET,4,CHA,3
KCA,5,CLE,2
BAL,2,HOU,5
TBA,3,MIN,5
OAK,2,NYA,3
TEX,1,TOR,3
SLN,4,COL,8
CHN,4,LAN,9
ANA,2,MIA,9
ARI,5,MIL,9
CIN,8,PHI,4
NYN,7,PIT,2
ATL,1,SFN,7
SDN,5,WAS,3
SEA,5,BOS,0
DET,3,CHA,7
KCA,1,CLE,10
BAL,4,HOU,8
TBA,8,MIN,6
OAK,5,NYA,9
TEX,3,TOR,1
SEA,6,COL,5
PHI,1,MIA,4
MIL,2,NYN,4
ARI,3,PIT,4
CHN,2,SDN,5
WAS,3,SFN,0
LAN,5,SLN,1
ATL,6,ANA,3
NYA,2,BAL,3
BOS,4,CHA,5
OAK,3,CLE,5
DET,10,KCA,7
HOU,16,MIN,8
TBA,10,TEX,8
CIN,2,TOR,17
SEA,10,COL,4
PHI,2,MIA,7
MIL,4,NYN,5
ARI,3,PIT,0
CHN,2,SDN,6
WAS,6,SFN,3
LAN,9,SLN,4
ATL,3,ANA,9
NYA,8,BAL,3
BOS,13,CHA,7
OAK,4,CLE,9
DET,0,KCA,1
HOU,7,MIN,2
TBA,5,TEX,9
CIN,4,TOR,6
PHI,2,MIA,10
MIL,7,NYN,1
ARI,6,PIT,5
CHN,1,SDN,2
WAS,3,SFN,1
LAN,1,SLN,2
ATL,1,ANA,2
NYA,4,BAL,10
BOS,4,CHA,1
OAK,3,CLE,1
DET,6,KCA,5
HOU,17,MIN,6
COL,0,SEA,5
TBA,7,TEX,5
CIN,4,TOR,5
ARI,3,MIA,2
MIL,2,NYN,1
LAN,0,SLN,2
MIN,4,ANA,2
BOS,5,BAL,7
OAK,0,CLE,8
COL,6,SEA,3
NYA,12,TOR,2
SLN,2,CHN,3
ATL,2,CIN,3
ARI,5,MIA,7
LAN,2,MIL,1
PIT,12,NYN,7
SFN,10,PHI,0
COL,5,SDN,8
MIN,11,ANA,5
BOS,2,BAL,3
CHA,5,DET,15
CLE,0,KCA,4
WAS,13,OAK,3
TBA,4,SEA,12
HOU,7,TEX,1
NYA,5,TOR,7
SLN,3,CHN,5
ATL,6,CIN,5
ARI,0,MIA,3
LAN,10,MIL,8
PIT,2,NYN,4
SFN,3,PHI,5
COL,10,SDN,1
MIN,2,ANA,7
BOS,5,BAL,2
CHA,1,DET,10
CLE,5,KCA,12
WAS,4,OAK,10
TBA,2,SEA,9
HOU,6,TEX,5
NYA,7,TOR,0
SLN,6,CHN,7
ATL,13,CIN,8
ARI,5,MIA,6
LAN,0,MIL,3
PIT,11,NYN,1
SFN,7,PHI,9
COL,3,SDN,1
MIN,3,ANA,2
BOS,7,BAL,3
CHA,4,DET,7
CLE,8,KCA,0
WAS,11,OAK,10
TBA,1,SEA,7
HOU,7,TEX,2
NYA,2,TOR,3
PHI,11,ATL,4
MIA,1,CHN,3
SLN,2,CIN,4
WAS,4,LAN,2
SFN,7,MIL,2
HOU,7,KCA,3
TOR,3,OAK,5
SDN,2,ARI,10
PHI,3,ATL,1
MIA,2,CHN,10
SLN,1,CIN,13
CLE,3,COL,11
WAS,2,LAN,1
SFN,2,MIL,5
PIT,5,BAL,6
ANA,5,DET,3
HOU,7,KCA,9
BOS,5,NYA,4
TOR,1,OAK,4
MIN,3,SEA,12
CHA,4,TBA,2
NYN,8,TEX,10
SDN,4,ARI,7
PHI,1,ATL,14
MIA,6,CHN,5
SLN,4,CIN,6
CLE,1,COL,8
WAS,1,LAN,2
SFN,3,MIL,6
PIT,6,BAL,9
ANA,0,DET,4
HOU,5,KCA,7
BOS,0,NYA,8
TOR,7,OAK,5
MIN,5,SEA,6
CHA,1,TBA,3
NYN,4,TEX,3
SDN,3,ARI,15
PHI,1,ATL,3
COL,4,CHN,1
SLN,2,CIN,5
SFN,9,MIL,5
MIA,7,PIT,1
BAL,1,WAS,6
ANA,11,DET,4
HOU,6,KCA,1
BOS,1,NYA,9
MIN,2,SEA,1
CHA,5,TBA,7
MIL,8,ARI,6
NYN,2,ATL,3
COL,5,CHN,3
CIN,2,LAN,7
MIA,12,PIT,7
KCA,3,SDN,6
MIN,4,SFN,0
PHI,2,SLN,3
TEX,5,WAS,2
DET,3,BOS,5
CHA,3,CLE,7
ANA,9,HOU,4
BAL,2,NYA,8
TOR,2,SEA,4
OAK,4,TBA,13
MIL,2,ARI,3
NYN,6,ATL,1
NYN,8,ATL,1
COL,9,CHN,1
CIN,4,LAN,5
MIA,6,PIT,7
KCA,12,SDN,6
MIN,3,SFN,2
PHI,0,SLN,7
TEX,6,WAS,3
DET,3,BOS,11
CHA,5,CLE,3
ANA,1,HOU,3
BAL,3,NYA,16
TOR,4,SEA,2
OAK,5,TBA,6
OAK,7,TBA,2
MIL,1,ARI,11
NYN,2,ATL,1
COL,5,CHN,7
CIN,7,LAN,9
MIA,1,PIT,3
